Item number,Custom label (SKU),Title,Relationship ,Relationship details,P:UPC,Available quantity,Start price,Buy It Now price,Reserve price,Current price (future),Format,Condition,CD:Professional Grader - (ID: 27501),CD:Grade - (ID: 27502),CDA:Certification Number - (ID: 27503),CD:Card Condition - (ID: 40001),eBay category 1 name,eBay category 1 number,Listing site,High Bid,Bids,Watchers,Start date,End date,Sold status,Relist status,
"317040973152",,Brockum 1990 East West Tour Black Graphic Print Bob Dylan TShirt Large Vintage,,,"","1","89.99",,,89.99,FixedPrice,"","","","","","T-Shirts","175781","US",,"","4","Jun-29-25 16:09:11 PDT","Nov-09-25 19:31:43 PST",Unsold,Not relisted
"317052161270",,Spring Ford Classic Sportswear Graphic Print Single Stitch Bad Tour Tee Large,,,"","1","149.99",,,149.99,FixedPrice,"","","","","","T-Shirts","175781","US",,"","","Jul-03-25 08:33:51 PDT","Nov-08-25 14:22:03 PST",Unsold,Not relisted
"317056158046",,Y2k Grunge Amsterdam Graphic Print Zipup Hoodie Hood Long Sleeves Large,,,"Does not apply","1","15.0",,,15.0,FixedPrice,"Pre-owned - Excellent","","","","","Hoodies & Sweatshirts","155226","US",,"","3","Jul-04-25 15:45:08 PDT","Sep-28-25 09:59:37 PDT",Unsold,Not relisted
"317087060770",,Mitchell Ness Vintage 1990s Black Portland Blazers Embroidered Adjustable Cap,,,"","1","15.0",,,15.0,FixedPrice,"","","","","","Men's Hats","163619","US",,"","2","Jul-15-25 23:13:13 PDT","Dec-01-25 00:55:01 PST",Unsold,Not relisted
"317210589933",,FRUIT OF THE LOOM Mens Large Black Vintage Michael Jackson 1980s Bad Tour Tee,,,"","1","195.0",,,195.0,FixedPrice,"Pre-owned - Excellent","","","","","T-Shirts","175781","US",,"","0","Aug-25-25 10:07:52 PDT","Nov-11-25 15:13:06 PST",Unsold,Not relisted
"317251643296",,The Cure Mens Size Large Vintage 1980s Band Tee Single Stitch Grail Rare,,,"Does not apply","1","225.0",,,225.0,FixedPrice,"Pre-owned - Excellent","","","","","T-Shirts","15687","US",,"","1","Sep-07-25 09:59:06 PDT","Dec-06-25 03:40:09 PST",Unsold,Not relisted
"317251644678",,Vintage 90s TULTEX Mens Large Marilyn Manson Rock Is Dead Omega Tee,,,"Does not apply","1","250.0",,,250.0,FixedPrice,"Used","","","","","Hand Embroidery Hoops & Frames","160721","US",,"","1","Sep-07-25 10:00:23 PDT","Nov-08-25 14:21:15 PST",Unsold,Not relisted
"317251651278",,The Beatles Mens Large White Blue Vintage 1970s Quarter Sleeve Graphic Band Tee,,,"Does not apply","1","110.0",,,110.0,FixedPrice,"Pre-owned - Excellent","","","","","T-Shirts","15687","US",,"","","Sep-07-25 10:05:39 PDT","Nov-19-25 09:15:21 PST",Unsold,Not relisted
"317256016040",,Vintage 80s Grateful Fred Flintstones Band Tee Rare T-Shirt Mens XL,,,"","1","169.99",,,169.99,FixedPrice,"","","","","","Apparel","29908","US",,"","","Sep-08-25 08:11:04 PDT","Nov-08-25 14:23:58 PST",Unsold,Not relisted
"317256038035",,Iron Maiden Band Tee Mens Size Small White Vintage Concert Heavy Metal Grail,,,"","1","199.99",,,199.99,FixedPrice,"Pre-owned - Excellent","","","","","T-Shirts","175781","US",,"","","Sep-08-25 08:21:52 PDT","Dec-01-25 15:30:31 PST",Unsold,Not relisted
